Name,Description,Category,Card,Date,Status,OCost,Cost,Savings
Vox,Vox,Food,A.S 1008,4/15/2026,Procured,,14,
Compact Mini Fridge,"Frigidaire Combo, 3.1 cu",Home,A.S 1008,4/15/2026,Procured,260,158,102
Slurpin Ramen,Slurpin Ramen,Food,A.S 1008,4/14/2026,Procured,,14,
McDonalds,McDonalds,Food,A.S 1008,4/14/2026,Procured,,17,
Rooster Cafe,Rooster Cafe,Food,A.S 1008,4/13/2026,Procured,,17,
Star KBBQ,Star KBBQ,Food,A.S 1008,4/12/2026,Procured,,43,
Karaoke,Ding Dong Dang,Fun,A.S 1008,4/12/2026,Procured,14,14,0
Sukiya,Sukiya,Food,A.S 1008,4/10/2026,Procured,,92,
Pokemon Cards,GasMeUp Event,Fun,A.S 1008,4/10/2026,Procured,72,72,0
Pho Nic,Pho Nic,Food,A.S 1008,4/9/2026,Procured,,18,
Chicken Skewers,Chicken Skewers,Food,A.S 1008,4/8/2026,Procured,,60,
Card Binder/Sleeves,VaultX 4 Pocket + Sleeves,Fun,A.S 1008,4/7/2026,Procured,35,32,3
Car Wash,24/7 Car Wash,Tesla,A.S 1008,4/6/2026,Procured,15,15,0
No 1 Chinese,,Food,A.S 1008,4/6/2026,Procured,12,12,0
Starbucks,Starbucks,Food,A.S 1008,4/5/2026,Procured,,14,
Happy Burger Diner,Happy Burger Diner,Food,A.S 1008,4/4/2026,Procured,,48,
Pokemon Booster,Black Bolt,Fun,A.S 1008,4/3/2026,Procured,70,70,0
Little Shop of Ramen,Little Shop of Ramen,Food,A.S 1008,4/3/2026,Procured,,43,
Pho Ha Noi,Pho Ha Noi,Food,A.S 1008,4/2/2026,Procured,,28,
Brazuca,Brazuca,Food,A.S 1008,4/1/2026,Procured,,26,
Vox,Vox,Food,A.S 1008,3/31/2026,Procured,,14,
Magnetic Pen Holder,Magnet Pencil Cup Storage,Home,A.S 1008,3/30/2026,Procured,6,6,0
Rooster Cafe,Rooster Cafe,Food,A.S 1008,3/30/2026,Procured,,17,
Tesla Snow Chains,Konig CG-9 103,Tesla,A.S 1008,3/30/2026,Procured,200,200,0
Yosemite Airbnb,Rustic House Mariposa,Travel,A.S 1008,3/30/2026,Procured,500,500,0
Com Tam TQC,Com Tam TQC,Food,A.S 1008,3/29/2026,Procured,,16,
Pentel .4 Gel Refill,Pentel XLRN4-A,Fun,A.S 1008,3/28/2026,Procured,6,6,0
Cuticle Trimmer,Tweezerman Rockhard,Health,A.S 1008,3/28/2026,Procured,28,22,6
ZWILLING Vacuum Sealer,ZWILLING Fresh & Save,Home,A.S 1008,3/28/2026,Procured,80,62,18
Hot C Pot,Hot C Pot,Food,A.S 1008,3/28/2026,Procured,,55,
Bolt Action Pen,Refyne EP1L Pen + Stand,Fun,A.S 1008,3/27/2026,Procured,108,92,16
Costco,Costco,Food,A.S 1008,3/27/2026,Procured,,30,
McDonalds,McDonalds,Food,A.S 1008,3/27/2026,Procured,,21,
Zwilling Warehouse,Glassware + Knife + Cookware,Home,A.S 1008,3/27/2026,Procured,490,160,330
Chafinity,Chafinity,Food,A.S 1008,3/26/2026,Procured,,9,
Wendys,Wendys,Food,A.S 1008,3/26/2026,Procured,,11,
Cha Redefined,Cha Redefined,Food,A.S 1008,3/25/2026,Procured,,8,
Pho Dakao,Pho Dakao,Food,A.S 1008,3/25/2026,Procured,,18,
California Fish Grill,California Fish Grill,Food,A.S 1008,3/24/2026,Procured,,27,
Afters,Afters,Food,A.S 1008,3/24/2026,Procured,,7,
Boutcha,Boutcha,Food,A.S 1008,3/22/2026,Procured,,8,
Pradera,Pradera,Food,A.S 1008,3/22/2026,Procured,,72,
Pure Vida,Pure Vida,Food,A.S 1008,3/22/2026,Procured,,10,
Chicken Skewers,Chicken Skewers,Food,A.S 1008,3/20/2026,Procured,,60,
Drill Bits,Dewalt Black Gold,Home,A.S 1008,3/20/2026,Procured,31,31,0
Check-In Luggage,Alaska + Southwest,Travel,A.S 1008,3/20/2026,Procured,105,105,0
Udon Mugizo,Udon Mugizo,Food,A.S 1008,3/19/2026,Procured,,63,
Nijiya Market,Nijiya Market,Food,A.S 1008,3/19/2026,Procured,,2,
Costco,Costco,Food,A.S 1008,3/15/2026,Procured,,33,
Costco,FogoDeChao Cards,Gift,A.S 1008,3/15/2026,Procured,400,320,80
Blootie Bday Gift,OSTBA Meat Slicer,Gift,A.S 1008,3/15/2026,Procured,109,91,18
House of Shabu 2,House of Shabu 2,Food,A.S 1008,3/14/2026,Procured,,265,
Slurpin Ramen,Slurpin Ramen,Food,A.S 1008,3/13/2026,Procured,,27,
Uroko,Uroko,Food,A.S 1008,3/13/2026,Procured,,21,
Kappo Honda,Kappo Honda,Food,A.S 1008,3/12/2026,Procured,,55,
Ka Don Katsu,Ka Don Katsu,Food,A.S 1008,3/11/2026,Procured,,21,
Thai Station,Thai Station,Food,A.S 1008,3/11/2026,Procured,,19,
Riot Points,Arcana Tahm Kench,Fun,A.S 1008,3/11/2026,Procured,11,11,0
7 Leaves,7 Leaves,Food,A.S 1008,3/10/2026,Procured,,7,
Taco Stand,Taco Stand,Food,A.S 1008,3/9/2026,Procured,,11,
Slice House,Slice House,Food,A.S 1008,3/8/2026,Procured,,17,
Avenue Shabu,Avenue Shabu,Food,A.S 1008,3/7/2026,Procured,,80,
Vox,Vox,Food,A.S 1008,3/6/2026,Procured,,25,
Simply Pho,Simply Pho,Food,A.S 1008,3/6/2026,Procured,,19,
Rooster Cafe,Rooster Cafe,Food,A.S 1008,3/5/2026,Procured,,17,
Taco Stand,Taco Stand,Food,A.S 1008,3/4/2026,Procured,,20,
Haneda Yaki,Haneda Yaki,Food,A.S 1008,3/3/2026,Procured,,29,
Shibuya Disney,Dr Baymax,Gift,A.S 1008,3/3/2026,Procured,19,19,0
Fuji Merch,Lucky Charms,Gift,A.S 1008,3/3/2026,Procured,43,43,0
Conrad Tokyo,Conrad Tokyo,Travel,A.S 1008,3/3/2026,Procured,400,400,0
Tomonds,Nail clipper + Shampoo,Health,A.S 1008,3/2/2026,Procured,35,35,0
Suica,Suica,Travel,A.S 1008,3/2/2026,Procured,6,6,0
Descente,Aero Stretch Jacket,Apparel,A.S 1008,3/1/2026,Procured,211,211,0
Conrad Tokyo,Security Deposit,Travel,A.S 1008,3/1/2026,Procured,640,640,0
Shibuya Karaoke,Karaoke Rainbow,Fun,A.S 1008,3/1/2026,Procured,123,123,0
Rio Brewing Co,Rio Brewing Co,Food,A.S 1008,3/1/2026,Procured,,31,
Umbrellas,WPA UV Umbrellas,Gift,A.S 1008,2/27/2026,Procured,54,54,0
Ohtani Merch Beth,Ohtani XL Jersey,Gift,A.S 1008,2/27/2026,Procured,128,128,0
Rilakkuma Merch,Duck + Bear,Gift,A.S 1008,2/27/2026,Procured,22,22,0
Pokemon Card,Leafeon,Gift,A.S 1008,2/27/2026,Procured,38,38,0
Don Quixote,Nose Mint + Kitkat,Gift,A.S 1008,2/27/2026,Procured,37,37,0
Shibuya Matcha,Suzuki Choju Shoten,Gift,A.S 1008,2/27/2026,Procured,35,35,0
Ginza Happo,Ginza Happo,Food,A.S 1008,2/27/2026,Procured,,691,
Pot Made Bakery,Pot Made Bakery,Food,A.S 1008,2/27/2026,Procured,,30,
Saunas,Saunas,Food,A.S 1008,2/27/2026,Procured,,9,
Banana Biyori,Banana Biyori,Food,A.S 1008,2/26/2026,Procured,,4,
Melon Ice Cream,Melon Ice Cream,Food,A.S 1008,2/26/2026,Procured,,3,
Saboten Tonkatsu,Saboten Tonkatsu,Food,A.S 1008,2/26/2026,Procured,,26,
Nakayoshi Shibuya,Nakayoshi Shibuya,Food,A.S 1008,2/25/2026,Procured,,19,
7-11 Shibuya,7-11 Shibuya,Food,A.S 1008,2/25/2026,Procured,,17,
Tokyo DisneySea Merch,Nick Judy Hats,Fun,A.S 1008,2/25/2026,Procured,41,41,0
Hareruya2,Zekrom Pokemon Card,Fun,A.S 1008,2/25/2026,Procured,15,15,0
Nakayoshi,Nakayoshi,Food,A.S 1008,2/25/2026,Procured,,19,
7-11 Shibuya,7-11 Shibuya,Food,A.S 1008,2/25/2026,Procured,,17,
Coco Ichibanya Sunshine,Coco Ichibanya Sunshine,Food,A.S 1008,2/25/2026,Procured,,26,
Tokyo Matcha,Tokyo Matcha,Food,A.S 1008,2/25/2026,Procured,,11,
Disney Popcorn,Disney Popcorn,Food,A.S 1008,2/24/2026,Procured,,3,
Shibuya Starbucks,Shibuya Starbucks,Food,A.S 1008,2/23/2026,Procured,,5,
Shibuya McDonalds,Shibuya McDonalds,Food,A.S 1008,2/23/2026,Procured,,5,
Shibuya Muji,Shibuya Muji,Food,A.S 1008,2/23/2026,Procured,,11,
Shibuya Zeniba,Shibuya Zeniba,Food,A.S 1008,2/23/2026,Procured,,92,
Shibuya Stream Fee,Hotel Convenience Fee,Travel,A.S 1008,2/23/2026,Procured,13,13,0
Anker Qi2 Charger,Anker MagGo Slim,Tech,A.S 1008,2/23/2026,Procured,80,50,30
Suica Reload,Suica,Travel,A.S 1008,2/23/2026,Procured,33,33,0
Ebisu Starbucks,Ebisu Starbucks,Food,A.S 1008,2/23/2026,Procured,,7,
Akihabara KFC,Akihabara KFC,Food,A.S 1008,2/23/2026,Procured,,15,
Reservation Fee,Tabelog Fee,Travel,A.S 1008,2/23/2026,Procured,11,11,0
Tokyo Hotel,Shibuya Stream,Travel,A.S 1008,2/21/2026,Procured,1818,1818,0
Hot C Pot,Hot C Pot,Food,A.S 1008,2/21/2026,Procured,,27,
ESim,Ubigi ESim Japan,Travel,A.S 1008,2/21/2026,Procured,39,35,4
Uber,Uber LAX,Travel,A.S 1008,2/21/2026,Procured,90,90,0
KaDon Katsu,KaDon Katsu,Food,A.S 1008,2/20/2026,Procured,,25,
Habit,Habit,Food,A.S 1008,2/20/2026,Procured,,12,
Seabirds,Seabirds,Food,A.S 1008,2/18/2026,Procured,,30,
Waterproof Shoes,Hoka Clifton 9,Apparel,A.S 1008,2/18/2026,Procured,165,165,0
No Tie Shoelaces,Xpand Laces,Apparel,A.S 1008,2/18/2026,Procured,12,10,2
Capital Noodle,Capital Noodle,Food,A.S 1008,2/17/2026,Procured,,33,
Heytea,Heytea,Food,A.S 1008,2/17/2026,Procured,,16,
Rooster and Rice,Rooster and Rice,Food,A.S 1008,2/16/2026,Procured,,16,
Texas Roadhouse,Texas Roadhouse,Food,A.S 1008,2/15/2026,Procured,,50,
Wagyu Experience,Wagyu Experience,Food,A.S 1008,2/12/2026,Procured,,25,
EPL,EPL,Food,A.S 1008,2/11/2026,Procured,,12,
Qua,Qua,Food,A.S 1008,2/11/2026,Procured,,33,
Rooster Cafe,Rooster Cafe,Food,A.S 1008,2/10/2026,Procured,,17,
Right Stalk Replacement,Right S3XY Stalk,Tesla,A.S 1008,2/9/2026,Procured,237,237,0
Okayama Kobo,Okayama Kobo,Food,A.S 1008,2/8/2026,Procured,,12,
Kobe Gyukatsu,Kobe Gyukatsu,Food,A.S 1008,2/8/2026,Procured,,65,
DoddleVee Merch,Coffee Sweater,Apparel,A.S 1008,2/8/2026,Procured,85,85,0
Anaheim Parking,Metropolis,Travel,A.S 1008,2/8/2026,Procured,10,10,0
Hot C Pot,Hot C Pot,Food,A.S 1008,2/7/2026,Procured,,40,
Yogurtland,Yogurtland,Food,A.S 1008,2/6/2026,Procured,,14,
Georgias,Georgias,Food,A.S 1008,2/6/2026,Procured,,26,
Bo No Nabe,Bo No Nabe,Food,A.S 1008,2/4/2026,Procured,,30,
Whole Foods,Whole Foods,Food,A.S 1008,2/3/2026,Procured,,41,
Curry Do,Curry Do,Food,A.S 1008,2/3/2026,Procured,,19,
Ramen Nagi,Ramen Nagi,Food,A.S 1008,2/2/2026,Procured,,25,
Saigon District,Saigon District,Food,A.S 1008,2/1/2026,Procured,,39,
DisneySea Tickets,DisneySea x2,Fun,A.S 1008,1/31/2026,Procured,115,115,0
Shabuya,Shabuya,Food,A.S 1008,1/31/2026,Procured,,70,
Vox,Vox,Food,A.S 1008,1/30/2026,Procured,,25,
Memphis Cafe,Memphis Cafe,Food,A.S 1008,1/29/2026,Procured,,24,
Memphis Cafe,Memphis Cafe,Food,A.S 1008,1/29/2026,Procured,,24,
Taco Bell,Taco Bell,Food,A.S 1008,1/29/2026,Procured,,9,
AC Tickets,Registration,Fun,A.S 1008,1/29/2026,Procured,80,80,0
POE2 Gift,Christmas POE2,Gift,A.S 1008,1/29/2026,Procured,60,60,0
POE2 Gold,Lord Ohgam Pack,Fun,A.S 1008,1/29/2026,Procured,30,30,0
Nep,Nep,Food,A.S 1008,1/28/2026,Procured,,30,
Art Commission,Ref Sheet,Fun,A.S 1008,1/27/2026,Procured,450,450,0
No1 Chinese,No1 Chinese,Food,A.S 1008,1/27/2026,Procured,,12,
Paradise Dynasty,Paradise Dynasty,Food,A.S 1008,1/26/2026,Procured,,23,
Popeyes,Popeyes,Food,A.S 1008,1/26/2026,Procured,,27,
Costco,Costco,Food,C.F 3882,1/25/2026,Procured,,263,
Galpao Gaucho,Galpao Gaucho,Food,A.S 1008,1/24/2026,Procured,,92,
Phoholic,Phoholic,Food,A.S 1008,1/23/2026,Procured,,18,
Cha Redefined,Cha Redefined,Food,A.S 1008,1/23/2026,Procured,,8,
Pho Ha Noi,Pho Ha Noi,Food,A.S 1008,1/23/2026,Procured,,18,
Thai Station,Thai Station,Food,A.S 1008,1/22/2026,Procured,,19,
Hong Kong Express,Hong Kong Express,Food,A.S 1008,1/21/2026,Procured,,16,
In N Out,In N Out,Food,A.S 1008,1/20/2026,Procured,,14,
Halal Guys,Halal Guys,Food,A.S 1008,1/19/2026,Procured,,21,
Paws Tea,Paws Tea,Food,A.S 1008,1/18/2026,Procured,,7,
Sen,Sen,Food,C.F 3882,1/18/2026,Procured,,16,
Momonoki,Momonoki,Food,A.S 1008,1/18/2026,Procured,,52,
Steam Purchase,Vtube Studio,Fun,A.S 1008,1/18/2026,Procured,15,15,0
Gen Kbbq,Gen Kbbq,Food,A.S 1008,1/17/2026,Procured,,23,
Rooster,Rooster,Food,A.S 1008,1/15/2026,Procured,,17,
Slurpin Ramen,Slurpin Ramen,Food,A.S 1008,1/14/2026,Procured,,28,
Amazon Fresh,Amazon Fresh,Food,A.S 1008,1/14/2026,Procured,,20,
Slice House,Slice House,Food,A.S 1008,1/14/2026,Procured,,9,
Cha Redefined,Cha Redefined,Food,A.S 1008,1/13/2026,Procured,,8,
Vox,Vox,Food,A.S 1008,1/12/2026,Procured,,14,
Tkebob,Tkebob,Food,A.S 1008,1/12/2026,Procured,,83,
Dakao,Dakao,Food,A.S 1008,1/11/2026,Procured,,18,
Pelicana,Pelicana,Food,A.S 1008,1/10/2026,Procured,,86,
Amarith,Amarith,Food,A.S 1008,1/9/2026,Procured,,40,
Steam Points,POE2 Gold,Fun,A.S 1008,1/9/2026,Procured,20,20,0
Hong Kong Express,Hong Kong Express,Food,A.S 1008,1/8/2026,Procured,,16,
Rooster,Rooster,Food,A.S 1008,1/7/2026,Procured,,17,
Sharetea,Sharetea,Food,A.S 1008,1/7/2026,Procured,,7,
The Taco Stand,The Taco Stand,Food,A.S 1008,1/6/2026,Procured,,19,
Kitakata,Kitakata,Food,A.S 1008,1/5/2026,Procured,,20,
Mikiya,Mikiya,Food,A.S 1008,1/4/2026,Procured,,193,
Kenwood,Kenwood,Food,A.S 1008,1/3/2026,Procured,,43,
Sprouts,Sprouts,Food,A.S 1008,1/3/2026,Procured,,10,
Vox,Vox,Food,A.S 1008,1/2/2026,Procured,,23,
Mimi Cafe,Mimi Cafe,Food,A.S 1008,12/31/2025,Procured,,60,
In N Out,In N Out,Food,A.S 1008,12/30/2025,Procured,,14,
Tokyo Central,Tokyo Central,Food,A.S 1008,12/30/2025,Procured,,27,
Laser Measuring Tool,HOTO Laser,Home,A.S 1008,12/30/2025,Procured,50,30,20
Tesla Side Liners,Basenor Liners,Tesla,A.S 1008,12/30/2025,Procured,26,19,7
Tool Kit,HOTO 40 Piece Kit,Home,A.S 1008,12/30/2025,Procured,80,60,20
No1 Chinese,No1 Chinese,Food,A.S 1008,12/29/2025,Procured,,12,
Costco,Costco,Food,C.F 3882,12/28/2025,Procured,,72,
Apple Strudel,Apple Strudel,Food,A.S 1008,12/27/2025,Procured,,16,
Gyukaku,Gyukaku,Food,A.S 1008,12/26/2025,Procured,,59,
Kei Coffee House,Kei Coffee House,Food,A.S 1008,12/25/2025,Procured,,18,
Vox,Vox,Food,A.S 1008,12/23/2025,Procured,,37,
Steam Game,Nine Sols,Fun,A.S 1008,12/23/2025,Procured,30,18,12
Spicy Noodle House,Spicy Noodle House,Food,A.S 1008,12/22/2025,Procured,,17,
Holiday Tip,Macy Tip,Gift,A.S 1008,12/21/2025,Procured,40,40,0
Satoshi,Satoshi,Food,A.S 1008,12/21/2025,Procured,,37,
In N Out,In N Out,Food,A.S 1008,12/20/2025,Procured,,10,
Raising Canes,Raising Canes,Food,A.S 1008,12/20/2025,Procured,,14,
Butchers House,Butchers House,Food,A.S 1008,12/19/2025,Procured,,87,
Wagyu Factory,Wagyu Factory,Food,A.S 1008,12/17/2025,Procured,,109,
No1 Chinese,No1 Chinese,Food,A.S 1008,12/16/2025,Procured,,12,
Indoor Camera,Aqara Hub G3,Tech,A.S 1008,12/16/2025,Procured,110,85,25
White Elephant,Anker Soundcore Earbuds,Gift,A.S 1008,12/16/2025,Procured,50,25,25
Ralphs,Ralphs,Food,A.S 1008,12/16/2025,Procured,,16,
Steam Game,Undertale,Fun,A.S 1008,12/15/2025,Procured,10,2,8
Vox,Vox,Food,A.S 1008,12/15/2025,Procured,,23,
Urban Plate,Urban Plate,Food,A.S 1008,12/15/2025,Procured,,42,
Art Commission,Holiday Tease,Fun,A.S 1008,12/14/2025,Procured,210,210,0
Thai Station,Thai Station,Food,A.S 1008,12/14/2025,Procured,,32,
Fast Hotpot,Fast Hotpot,Food,A.S 1008,12/13/2025,Procured,,20,
3Cat,3Cat,Food,A.S 1008,12/13/2025,Procured,,7,
BYLT,Outerwear Underwear,Apparel,A.S 1008,12/13/2025,Procured,645,187,458
EPL,EPL,Food,A.S 1008,12/12/2025,Procured,,8,
Simply Pho,Simply Pho,Food,A.S 1008,12/12/2025,Procured,,19,
Que Vida Tacos,Que Vida Tacos,Food,A.S 1008,12/11/2025,Procured,,50,
Smart Glasses,Even Realities G2,Health,A.S 1008,12/11/2025,Procured,1106,932,174
No1 Chinese,No1 Chinese,Food,A.S 1008,12/10/2025,Procured,,12,
In N Out,In N Out,Food,A.S 1008,12/10/2025,Procured,,14,
Vox,Vox,Food,A.S 1008,12/8/2025,Procured,,25,
Habit,Habit,Food,A.S 1008,12/7/2025,Procured,,12,
AMC Tickets,Wicked 2,Fun,A.S 1008,12/6/2025,Procured,77,77,0
Eye Exam,West Eyecare,Health,A.S 1008,12/5/2025,Procured,10,10,0
Com Tam Xi Gon,Com Tam Xi Gon,Food,C.F 3882,12/5/2025,Procured,,26,
EPL,EPL,Food,A.S 1008,12/4/2025,Procured,,9,
Kin,Kin,Food,A.S 1008,12/4/2025,Procured,,25,
Christmas Gifts,Cards + Warmers,Gift,A.S 1008,12/3/2025,Procured,69,51,18
Thai Station,Thai Station,Food,A.S 1008,12/3/2025,Procured,,16,
Rooster Cafe,Rooster Cafe,Food,A.S 1008,12/3/2025,Procured,,17,
Ryokan,Ubuya,Travel,A.S 1008,12/2/2025,Procured,706,706,0
10 Days of Discord,Discord Flair,Fun,A.S 1008,12/2/2025,Procured,16,12,4
Capital,Capital,Food,A.S 1008,12/1/2025,Procured,,27,
Antisweat Pads,Wicked Cushions APM,Tech,A.S 1008,12/1/2025,Procured,18,18,0
USBC Headphones,Airpods Max USBC,Tech,A.S 1008,12/1/2025,Procured,550,336,214
In N Out,In N Out,Food,A.S 1008,11/30/2025,Procured,,5,
Popcorn Bucket,Zootopia Gary,Fun,A.S 1008,11/30/2025,Procured,35,35,0
Pillowcase + Blanket,Coop Pillowcase/Blanket,Health,A.S 1008,11/30/2025,Procured,197,72,125
Laundry Hamper,Storageworks 110L,Home,A.S 1008,11/29/2025,Procured,43,34,9
Kei Coffee House,Kei Coffee House,Food,A.S 1008,11/29/2025,Procured,,20,
Smart Water Bottle,Larq Purevis 2,Health,A.S 1008,11/28/2025,Procured,139,102,37
Travel Wallet,Ark Bifold Wallet,Travel,A.S 1008,11/28/2025,Procured,40,19,21
Tastea,Tastea,Food,A.S 1008,11/28/2025,Procured,,16,
Bonchon,Bonchon,Food,A.S 1008,11/26/2025,Procured,,50,
Regal Ticket,Zootopia,Fun,A.S 1008,11/26/2025,Procured,70,70,0
Ralph’s,Ralph’s,Food,A.S 1008,11/25/2025,Procured,,29,
Kaiten Sushi,Kaiten Sushi,Food,A.S 1008,11/25/2025,Procured,,7,
Travel Backpack,AER Travel Pack 3 XPac,Travel,A.S 1008,11/24/2025,Procured,259,207,52
Thai Station,Thai Station,Food,A.S 1008,11/24/2025,Procured,,18,
Interior Cleaner,Chemical Guys Cleaner,Tesla,A.S 1008,11/24/2025,Procured,24,13,11
Hot C Pot,Hot C Pot,Food,A.S 1008,11/23/2025,Procured,,36,
District 36,District 36,Food,A.S 1008,11/22/2025,Procured,,16,
iPhone 17 Pro,Apple iPhone 17 Pro 256GB,Tech,A.S 1008,11/22/2025,Procured,1100,870,230
Costco,Costco,Food,A.S 1008,11/21/2025,Procured,,65,
iPhone Privacy Screen,WSKEN Screen Protector,Tech,A.S 1008,11/20/2025,Procured,36,21,15
A50 Ear Cushion,Wicked Freeze A50 Gel,Tech,A.S 1008,11/20/2025,Procured,31,31,0
iPhone 17 Pro Case,Caudabe Synthesis,Tech,A.S 1008,11/20/2025,Procured,58,49,9
Logitech Astro Headphones,A Astro A50 5th Gen,Tech,A.S 1008,11/20/2025,Procured,300,240,60
Garage Camera,MyQ Smart Camera,Home,A.S 1008,11/20/2025,Procured,50,22,28
California Fish Grill,California Fish Grill,Food,A.S 1008,11/20/2025,Procured,,15,
Amazon Fresh,Toothpaste,Health,A.S 1008,11/20/2025,Procured,28,28,0
No 1 Chinese,No 1 Chinese,Food,A.S 1008,11/19/2025,Procured,,12,
Cava,Cava,Food,A.S 1008,11/18/2025,Procured,,13,
Japan Flight,JAL LAX>HND,Travel,A.S 1008,11/18/2025,Procured,790,790,0
Coop Bedding,Blanket + Pillowcase,Health,A.S 1008,11/17/2025,Procured,300,151,149
Rooster Cafe,Rooster Cafe,Food,A.S 1008,11/17/2025,Procured,,16,
Lion and Lamb,Lion and Lamb,Food,A.S 1008,11/16/2025,Procured,,8,
Bunkie Board,Meliusly Queen Board,Health,A.S 1008,11/16/2025,Procured,163,130,33
Mi Casa,Mi Casa,Food,A.S 1008,11/16/2025,Procured,,96,
Ribs and Co,Ribs and Co,Food,A.S 1008,11/16/2025,Procured,,200,
Bullgolgi,Bullgolgi,Food,A.S 1008,11/14/2025,Procured,,50,
Vox,Vox,Food,A.S 1008,11/13/2025,Procured,,28,
The Cut,The Cut,Food,A.S 1008,11/13/2025,Procured,,13,
WinkBed,Queen Luxury Firm,Health,A.S 1008,11/12/2025,Procured,3025,1900,1125
Cooling Pillow,Coop Queen Eden,Health,A.S 1008,11/12/2025,Procured,105,79,26
Cooling Pillow Gift,Coop Queen Eden,Gift,A.S 1008,11/12/2025,Procured,105,79,26
CHA,CHA,Food,A.S 1008,11/12/2025,Procured,,8,
Pizza Doro,Pizza Doro,Food,A.S 1008,11/11/2025,Procured,,17,
East Borough,East Borough,Food,A.S 1008,11/10/2025,Procured,,17,
Avenue Shabu,Avenue Shabu,Food,A.S 1008,11/9/2025,Procured,,38,
EPL,EPL,Food,A.S 1008,11/7/2025,Procured,,12,
Hoyoverse,Oneric Shards,Fun,A.S 1008,11/7/2025,Procured,50,50,0
Tokyo Central,Tokyo Central,Food,A.S 1008,11/7/2025,Procured,,19,
Target,Skin Tag + Loofa,Health,A.S 1008,11/6/2025,Procured,31,31,0
In N Out,In N Out,Food,A.S 1008,11/6/2025,Procured,,16,
Capital,Capital,Food,A.S 1008,11/6/2025,Procured,,21,
Steam Game,Peak,Fun,A.S 1008,11/5/2025,Procured,8,5,3
Vox,Vox,Food,A.S 1008,11/5/2025,Procured,,14,
Com Tam Bui,Com Tam Bui,Food,A.S 1008,11/4/2025,Procured,,16,
McDonalds,McDonalds,Food,A.S 1008,11/4/2025,Procured,,10,
Amazon Fresh,Amazon Fresh,Food,A.S 1008,11/4/2025,Procured,,13,
Dakao,Dakao,Food,A.S 1008,11/3/2025,Procured,,17,
Paws Tea,Paws Tea,Food,A.S 1008,11/3/2025,Procured,,7,
Mama Egg House,Mama Egg House,Food,A.S 1008,11/2/2025,Procured,,47,
In N Out,In N Out,Food,A.S 1008,11/2/2025,Procured,,9,
Fairway Foods,Fairway Foods,Food,A.S 1008,11/1/2025,Procured,,48,
Kitakata,Kitakata,Food,A.S 1008,10/30/2025,Procured,,20,
Ikea,Ikea,Food,A.S 1008,10/30/2025,Procured,,15,
Simply Pho,Simply Pho,Food,A.S 1008,10/29/2025,Procured,,19,
Purple Pillow,Dreamlayer Pillow,Health,A.S 1008,10/28/2025,Procured,225,190,35
Camping Trip,Idyllwild Camping,Travel,A.S 1008,10/28/2025,Procured,120,120,0
Brazuca,Brazuca,Food,A.S 1008,10/27/2025,Procured,,26,
Ikea,Ikea,Food,A.S 1008,10/27/2025,Procured,,5,
Steam Games,Wallpaper + RV,Fun,A.S 1008,10/26/2025,Procured,12,12,0
